idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
8175,SP,3554102,TAUBATÉ,Policia Militar,0,24/07/26 20:40,-,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1,0
6443,SP,3515103,EMBU-GUAÇU,Vila Louro,0,19/10/25 10:10,-,-,-,-,-,-,-,-,1,0
8804,SP,3522307,ITAPETININGA,Ribeirao Ponte Alta,0.2,24/07/26 15:50,-,-,0.4,0.4,0.4,0.4,0.4,0.4,3,0
6592,SP,3516408,FRANCO DA ROCHA,Rio Jundiai,0,24/07/26 20:10,-,-,-,-,-,-,-,-,3,0
7034,SP,3513009,COTIA,Parque Miguel Mirizola,0,30/07/24 18:10,-,-,-,-,-,-,-,-,1,0
6434,SP,3509502,CAMPINAS,Sousas,0,24/07/26 20:10,-,1.2,2.4,5.18,5.58,5.58,5.58,5.58,1,0
3855,SP,3522109,ITANHAÉM,Jardim Coronel,0,30/11/22 13:10,-,-,-,-,-,-,-,-,1,0
17413,SP,3551702,SERTÃOZINHO,G2-355170202A,0.2,24/07/26 20:30,1.2,7.2,32.8,38.2,44.4,44.4,44.4,44.4,1,0
3178,SP,3550308,SÃO PAULO,AC Almeida Lima,0,10/03/26 16:30,-,-,-,-,-,-,-,-,1,0
7691,SP,3522604,ITAPIRA,Santa Cruz,0,18/07/26 07:00,-,-,-,-,-,-,-,-,1,0
3095,SP,3550308,SÃO PAULO,Santo Amaro Paulista,0,23/07/26 23:00,-,-,-,-,-,-,-,-,1,0
4410,SP,3556503,VÁRZEA PAULISTA,COMDEC,0,24/07/26 20:50,-,-,0.2,0.2,0.2,0.4,0.4,0.4,1,0
4058,SP,3513801,DIADEMA,Jardim Santa Candida,0,17/05/26 03:40,-,-,-,-,-,-,-,-,1,0
8143,SP,3524907,JAMBEIRO,Centro,0,24/07/26 20:50,-,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0
